DateTime,Volume,Transaction,Open,High,Low,Close,Dir,Change,ForeignBuy,ForeignSell,ForeignNet,TrustBuy,TrustSell,TrustNet,DealerNet,DealerBuy,DealerSell,InvestorsNet
2013/1/2,40647,14353,97.6,99.9,97.1,99.6,+,2.6,22484,8625,13859,1746,147,1599,-350,1300,1650,15108
2013/1/3,44335,12616,100.5,102,100,101,+,1.4,32303,17347,14955,926,516,410,-1067,1512,2579,14298
2013/1/4,39502,10276,100.5,101.5,100,101.5,+,0.5,33581,24337,9244,234,190,44,-246,910,1156,9042
2013/1/7,42328,9042,101,101,99.1,100.5,-,1,26613,26952,-339,203,925,-722,-450,871,1321,-1511
2013/1/8,31218,9463,99.6,100,98.9,99.7,-,0.8,16628,15087,1540,209,635,-426,-80,749,829,1034
2013/1/9,26417,7616,100.5,100.5,99.2,100,+,0.3,16348,10594,5753,130,243,-113,649,1033,384,6289
2013/1/10,41234,8304,99.9,101,99.5,101,+,1,30684,27766,2917,151,163,-12,796,1045,249,3701
2013/1/11,22993,7982,101.5,101.5,100.5,101, ,0,18831,10635,8195,102,352,-250,-69,262,331,7876
2013/1/14,23575,6414,101,102,100,102,+,1,19081,10716,8364,120,0,120,-33,475,508,8451
2013/1/15,36015,10021,102,102,99.8,100.5,-,1.5,26503,27884,-1380,300,499,-199,-253,826,1079,-1832
2013/1/16,35496,8742,100.5,100.5,99.2,99.2,-,1.3,24600,24029,570,39,4272,-4233,837,1181,344,-2825
2013/1/17,40526,9034,100.5,101,98.5,99.3,+,0.1,30502,28912,1589,696,404,291,-695,803,1498,1186
2013/1/18,49874,11823,101.5,101.5,100.5,101.5,+,2.2,42034,20184,21850,732,1475,-743,-312,2577,2889,20795
2013/1/21,17310,5625,101,101,100,100.5,-,1,10863,12231,-1368,591,617,-26,279,941,662,-1115
2013/1/22,21946,5388,101,101,99.9,101,+,0.5,18759,15376,3382,476,184,292,65,452,387,3739
2013/1/23,30821,7292,101.5,101.5,100,101, ,0,28841,23924,4916,112,332,-220,-56,503,559,4640
2013/1/24,40653,8257,100,100.5,99.2,99.9,-,1.1,23209,34795,-11586,211,293,-82,-1015,896,1911,-12683
2013/1/25,48674,11885,99.9,99.9,98,99,-,0.9,29776,40988,-11212,16,1254,-1238,437,1034,597,-12013
2013/1/28,29190,7200,98.7,99.5,98.6,99.3,+,0.3,20373,24455,-4082,125,17,108,-622,795,1417,-4596
2013/1/29,36060,12071,100,101.5,99.7,101,+,1.7,28873,18836,10037,0,483,-483,-3081,193,3274,6473
